
 ,time,x,y,z
, 21.156, 0.04, 0.44, 1.00
, 21.225, 0.03, 0.44, 0.98
, 21.413, 0.02, 0.44, 0.98
, 21.414, 0.03, 0.44, 0.98
, 21.415, 0.01, 0.44, 0.98
, 21.416, 0.01, 0.44, 0.96
, 21.604, 0.02, 0.44, 0.99
, 21.605, 0.01, 0.44, 0.98
, 21.606, 0.02, 0.44, 0.99
, 21.607, 0.02, 0.43, 1.00
, 21.680, 0.01, 0.44, 0.98
, 21.689, 0.02, 0.44, 0.99
, 21.746, 0.01, 0.43, 1.00
, 21.826, 0.02, 0.44, 0.95
, 21.856, 0.02, 0.44, 1.00
, 21.899, 0.02, 0.44, 0.97
, 21.945, 0.02, 0.44, 0.96
, 21.982, 0.02, 0.42, 0.98
, 22.060, 0.03, 0.42, 1.00
, 22.105, 0.02, 0.42, 0.99
, 22.107, 0.02, 0.42, 0.98
, 22.184, 0.01, 0.42, 0.98
, 22.241, 0.01, 0.43, 0.98
, 22.303, 0.01, 0.43, 0.98
, 22.306, 0.02, 0.43, 0.99
, 22.418, 0.02, 0.43, 0.99
, 22.428, 0.03, 0.43, 0.97
, 22.528, 0.02, 0.42, 0.98
, 22.531, 0.02, 0.43, 0.98
, 22.563, 0.01, 0.42, 0.98
, 22.834, 0.01, 0.43, 0.96
, 22.835, 0.01, 0.42, 1.00
, 22.836, 0.01, 0.42, 0.97
, 22.838, 0.01, 0.43, 0.96
, 22.839, 0.02, 0.43, 0.98
, 22.969, 0.02, 0.43, 0.98
, 22.971, 0.02, 0.43, 0.98
, 22.972, 0.02, 0.43, 0.97
, 23.010, 0.02, 0.43, 0.98
, 23.071, 0.01, 0.44, 0.96
, 23.141, 0.02, 0.43, 0.98
, 23.142, 0.02, 0.43, 1.00
, 23.190, 0.02, 0.44, 0.99
, 23.297, 0.02, 0.44, 0.97
, 23.298, 0.02, 0.44, 0.97
, 23.318, 0.01, 0.43, 0.99
, 23.381, 0.01, 0.44, 0.98
, 23.457, 0.02, 0.44, 0.98
, 23.509, 0.01, 0.44, 0.98
, 23.510, 0.02, 0.44, 0.97
, 23.583, 0.02, 0.45, 0.95
, 23.638, 0.02, 0.44, 1.01
, 23.713, 0.02, 0.45, 1.01
, 23.716, 0.02, 0.44, 0.99
, 23.782, 0.01, 0.45, 0.98
, 23.873, 0.02, 0.44, 0.96
, 23.907, 0.02, 0.43, 0.97
, 23.908, 0.02, 0.44, 0.97
, 23.953, 0.02, 0.44, 0.98
, 24.094, 0.00, 0.44, 1.00
, 24.095, 0.02, 0.44, 1.00
, 24.144, 0.01, 0.44, 0.99
, 24.145, 0.01, 0.45, 0.98
, 24.259, 0.01, 0.44, 0.98
, 24.361, 0.02, 0.44, 0.97
, 24.362, 0.02, 0.44, 0.99
, 24.363, 0.03, 0.44, 0.99
, 24.409, 0.02, 0.44, 0.97
, 24.473, 0.01, 0.45, 0.99
, 24.546, 0.02, 0.44, 0.97
, 24.547, 0.03, 0.45, 0.96
, 24.622, 0.03, 0.45, 0.97
, 24.679, 0.02, 0.45, 0.96
, 24.716, 0.02, 0.44, 0.97
, 24.717, 0.02, 0.44, 0.99
, 24.779, 0.01, 0.43, 0.99
, 24.851, 0.02, 0.42, 0.96
, 24.907, 0.00, 0.41, 0.99
, 24.909, 0.01, 0.42, 0.98
, 25.001, 0.00, 0.42, 0.99
, 25.045, 0.01, 0.43, 1.00
, 25.123, 0.02, 0.43, 0.98
, 25.124, 0.01, 0.43, 0.99
, 25.175, 0.02, 0.43, 0.99
, 25.317, 0.02, 0.42, 0.97
, 25.319, 0.01, 0.42, 1.00
, 25.320, 0.02, 0.42, 0.98
, 25.363, 0.02, 0.43, 0.96
, 25.460, 0.02, 0.43, 0.98
, 25.496, 0.03, 0.43, 0.97
, 25.556, 0.02, 0.43, 0.98
, 25.557, 0.02, 0.43, 0.98
, 25.621, 0.01, 0.43, 0.98
, 25.671, 0.01, 0.44, 1.00
, 25.723, 0.01, 0.44, 0.99
