
 ,time,x,y,z
, 17.667, -0.81, 0.16, 0.87
, 17.730, -0.94, 0.05, 0.86
, 17.773, -0.86, 0.13, 0.92
, 17.859, -0.83, 0.04, 0.89
, 17.898, -0.87, 0.08, 0.76
, 17.967, -0.95, 0.41, 0.89
, 18.077, -1.06, 0.39, 0.92
, 18.090, -1.08, 0.37, 1.01
, 18.156, -0.88, 0.48, 0.70
, 18.266, -1.01, 0.21, 1.00
, 18.280, -0.97, 0.50, 1.23
, 18.356, -0.69, 0.48, 1.27
, 18.458, -0.87, 0.38, 1.08
, 18.476, -1.19, 0.20, 1.04
, 18.543, -1.05, 0.07, 0.90
, 18.600, -1.04, 0.18, 0.73
, 18.662, -0.98, 0.29, 1.13
, 18.794, -0.93, 0.23, 1.47
, 18.800, -0.96, 0.21, 0.82
, 18.904, -1.03, 0.27, 1.30
, 18.916, -0.74, 0.21, 0.46
, 18.980, -1.18, -0.06, 0.53
, 19.065, -1.55, 0.70, 3.00
, 19.112, -0.86, 0.48, 1.10
, 19.206, -1.30, -0.06, 0.28
, 19.238, -0.48, -0.10, 1.30
, 19.316, -2.37, 1.11, 0.27
, 19.385, -1.02, 0.11, 0.92
, 19.474, -1.28, 0.18, 1.69
, 19.491, -1.44, 0.44, 0.93
, 19.595, -0.68, 0.24, 1.28
, 19.622, -1.28, 0.41, 1.08
, 19.684, -0.55, -0.09, 1.14
, 19.754, -1.28, 0.36, 0.68
, 19.805, -0.62, 0.24, 1.99
, 19.870, -1.23, 0.61, 0.68
, 19.952, -1.38, 0.25, 1.09
, 20.000, -1.13, 0.84, 1.61
, 20.108, -1.38, -0.02, 0.13
, 20.123, -1.06, 0.64, 1.56
, 20.187, -1.37, 0.13, 1.08
, 20.254, -0.98, 0.24, 1.47
, 20.314, -1.27, 0.36, 1.11
, 20.382, -0.95, 0.34, 1.50
, 20.495, -0.86, 0.10, 1.95
, 20.516, -1.12, 0.50, 1.45
, 20.651, -0.91, 0.30, 1.59
, 20.653, -1.30, 0.39, 1.19
, 20.708, -1.12, 0.49, 1.38
, 20.771, -1.20, 0.49, 1.22
, 20.825, -1.21, 0.23, 1.18
, 20.886, -1.09, 0.44, 0.97
, 20.976, -1.20, 0.72, 1.15
, 21.015, -1.03, 0.71, 1.46
, 21.079, -1.21, 0.53, 1.45
, 21.179, -1.24, 0.25, 1.32
, 21.206, -1.15, 0.28, 1.15
, 21.308, -1.23, 0.52, 1.32
, 21.331, -1.18, 0.70, 1.64
, 21.397, -1.31, 0.38, 1.27
, 21.479, -1.28, 0.21, 1.25
, 21.522, -1.31, 0.41, 1.41
, 21.611, -1.33, 0.46, 1.38
, 21.725, -1.30, 0.63, 1.26
, 21.731, -1.23, 0.59, 1.73
, 21.855, -1.29, 0.41, 1.44
, 21.857, -1.23, 0.33, 1.38
, 21.910, -1.27, 0.33, 1.19
, 21.996, -1.30, 0.44, 1.44
, 22.034, -1.36, 0.47, 1.31
, 22.152, -1.36, 0.38, 1.55
, 22.163, -1.48, 0.40, 1.31
, 22.260, -1.49, 0.50, 1.22
, 22.290, -1.48, 0.62, 1.34
, 22.350, -1.51, 0.82, 1.56
, 22.414, -1.50, 0.48, 1.23
, 22.527, -1.58, 0.34, 1.13
, 22.539, -1.63, 0.62, 1.36
, 22.667, -1.61, 0.80, 1.36
, 22.669, -1.66, 0.50, 1.23
, 22.729, -1.67, 0.43, 1.22
, 22.810, -1.62, 0.69, 1.39
, 22.865, -1.64, 0.79, 1.47
, 22.958, -1.65, 0.73, 1.53
, 22.984, -1.60, 0.48, 1.27
, 23.048, -1.68, 0.41, 1.24
, 23.111, -1.72, 0.57, 1.25
, 23.216, -1.71, 0.71, 1.41
, 23.242, -1.74, 0.59, 1.37
