
time,altitude,x,y,z
36.35,16.06892944,-0.023686523,-2.233280957,-9.003490625
36.4,16.34128418,0.431069824,-2.006166089,-7.067687891
36.45,16.06892944,-0.099479248,-0.2649521,-5.051226709
36.5,16.34128418,0.734240723,1.324851978,-1.824888818
36.55,16.88599365,1.34058252,0.946327197,-5.373860498
36.6,17.43070313,3.083815186,1.779081714,-9.084149072
36.65,18.52012207,-0.099479248,3.217475879,-6.019128076
36.7,19.06483154,-0.933199219,3.444590747,-5.454518945
36.75,19.06483154,0.431069824,1.551966846,-6.180444971
36.8,19.33718628,0.506862549,1.930491626,-8.680856836
36.85,18.79247681,0.279484375,3.141770923,-5.777152734
36.9,19.33718628,0.431069824,3.596000659,-9.890733545
36.95,19.88189575,-0.63002832,3.217475879,-7.470980127
37,19.88189575,-1.539541016,6.094264209,-5.857811182
37.05,19.88189575,0.20369165,5.412919604,-7.470980127
37.1,19.60954102,-0.705821045,8.138298022,-5.857811182
37.15,19.88189575,-0.78161377,4.277345264,-7.551638574
37.2,20.42660522,-0.478442871,4.882984912,-5.857811182
37.25,20.42660522,-1.539541016,5.337214648,-7.632297021
37.3,20.69895996,-0.705821045,5.337214648,-8.196906152
37.35,20.69895996,-1.539541016,6.169969165,-6.825712549
37.4,20.9713147,-1.918504639,6.775608813,-6.825712549
37.45,20.9713147,-1.918504639,5.715739429,-6.664395654
37.5,20.9713147,-0.705821045,7.456953418,-8.438881494
37.55,20.9713147,-1.160577393,7.381248462,-6.583737207
37.6,20.9713147,-2.070090088,6.169969165,-6.825712549
37.65,21.51602417,-1.766919189,6.169969165,-6.341761865
37.7,21.24366943,-1.766919189,7.002723682,-7.632297021
37.75,21.24366943,0.052106201,7.002723682,-6.180444971
37.8,21.24366943,-1.160577393,6.397084033,-7.954930811
37.85,20.9713147,-2.297468262,5.715739429,-7.712955469
37.9,20.9713147,-0.251064697,6.397084033,-7.954930811
37.95,21.24366943,-0.857406494,5.867149341,-7.148346338
38,21.51602417,-1.539541016,6.321379077,-6.825712549
38.05,21.51602417,-0.63002832,5.412919604,-6.825712549
38.1,21.24366943,-0.857406494,5.412919604,-7.39032168
38.15,20.9713147,-1.008991943,4.655870044,-6.50307876
38.2,21.24366943,-0.857406494,4.35305022,-7.793613916
38.25,20.69895996,-1.691126465,4.125935352,-8.035589258
38.3,20.69895996,-1.236370117,3.217475879,-8.84217373
38.35,20.42660522,-0.478442871,3.671705615,-7.470980127
38.4,20.42660522,-0.78161377,2.763246143,-8.519539941
38.45,19.88189575,-0.478442871,1.703376758,-6.261103418
38.5,19.06483154,-1.387955566,1.551966846,-9.971391992
38.55,19.33718628,-0.857406494,0.567802417,-9.245465967
38.6,18.79247681,-1.387955566,-0.113542188,-9.487441309
38.65,18.52012207,-1.918504639,-0.946296704,-11.74587783
38.7,17.70305786,-4.874420898,-0.946296704,-7.954930811
38.75,16.88599365,-1.842711914,-2.611805737,-9.487441309
38.8,17.70305786,-3.206980957,-5.942823804,-10.13270889
38.85,16.88599365,-2.145882813,-6.39705354,-12.79443765
38.9,16.88599365,-0.63002832,-5.034364331,-12.79443765
38.95,16.34128418,-1.236370117,-7.305513013,-14.56892349
39,16.34128418,-1.463748291,-5.412889111,-12.31048696
39.05,16.06892944,-4.874420898,-7.986857617,-13.43970522
39.1,15.52421997,-5.026006348,-10.9393509,-16.42406777
39.15,15.79657471,-4.268079102,-7.229808057,-11.1812687
39.2,14.70715576,-2.449053711,-7.911152661,-10.05205044
39.25,13.89009155,-5.404969971,-7.229808057,-14.16563125
39.3,12.52831787,-5.708140869,-3.444560254,-13.60102212
39.35,12.80067261,-2.070090088,-6.321348584,-13.11707144
39.4,11.16654419,-2.070090088,-3.217445386,-13.11707144
39.45,10.89418945,-5.783933594,-0.037837231,-10.53600112
39.5,10.62183472,-6.390275391,1.022032153,-12.63312075
39.55,10.07712524,-3.737530029,3.141770923,-12.7137792
39.6,8.715351563,-1.539541016,11.54502104,-16.02077554
39.65,7.898287354,-9.043020752,16.76866301,-10.77797646
39.7,7.353577881,-3.434359131,20.4025009,-7.793613916
39.75,5.447094727,0.582655273,34.02939299,-4.244642236
39.8,5.447094727,-8.891435303,33.42375334,-4.567276025
39.85,3.540611572,-3.58594458,37.51182097,1.240132178
39.9,1.634128418,-3.282773682,40.3886093,-1.502255029
39.95,0.272354736,1.719546143,45.30943145,-0.856987451
40,0.817064209,-0.705821045,31.45542449,-2.06686416
40.05,0,-6.238689941,43.56821746,-3.034765527
40.1,-0.817064209,0.052106201,37.58752593,-0.373036768
40.15,-1.361773682,5.736560547,39.10162505,-8.922832178
40.2,-1.906483154,2.098509766,38.72310027,1.320790625
40.25,-1.906483154,-6.617653564,35.24067229,-4.647934473
40.3,-3.268256836,2.17430249,37.20900115,-9.084149072
40.35,-4.085321045,13.61900391,40.84283904,4.70844541
40.4,-2.9959021,4.675462402,36.14913176,-8.035589258
40.45,-0.544709473,-1.312162842,35.77060698,-6.987029443
40.5,-3.540611572,-14.34851147,51.29012297,-4.244642236
40.55,-2.178837891,7.404000488,36.75477141,-2.631473291
40.6,-0.544709473,3.386986084,30.69837493,-13.84299746
40.65,-0.817064209,2.17430249,40.23719939,-1.986205713
40.7,1.089418945,2.932229736,17.22289275,-12.47180386
40.75,-0.544709473,-2.979602783,35.99772185,0.191572363
40.8,1.361773682,-0.478442871,14.49751433,-9.72941665
40.85,0.544709473,-0.857406494,19.49404143,-4.647934473
40.9,2.723547363,2.17430249,7.078428638,-8.600198389
40.95,1.361773682,6.721865967,9.576692188,-11.82653628
41,4.085321045,-1.842711914,-0.113542188,-6.825712549
41.05,2.9959021,-2.828017334,3.066065967,-8.358223047
41.1,3.540611572,5.206011475,-0.340657056,2.288691992
41.15,4.085321045,-3.964908203,-2.763215649,-8.922832178
41.2,3.540611572,-3.58594458,-4.277314771,-9.16480752
41.25,4.085321045,2.477473389,-5.337184155,-8.2775646
41.3,6.536513672,2.17430249,-7.002693188,-8.600198389
41.35,5.447094727,-6.314482666,-13.66472932,-13.68168057
41.4,4.630030518,-0.933199219,-13.28620454,-11.1812687
41.45,5.991804199,-7.148202637,-10.10659639,-8.680856836
41.5,3.540611572,-7.451373535,-15.2545334,-15.85945864
41.55,5.447094727,-6.693446289,-9.198136914,-15.6174833
41.6,4.357675781,-1.842711914,-8.289677441,-12.39114541
41.65,4.902385254,-12.60527881,-8.819612134,-18.35987051
41.7,3.268256836,-8.815642578,-3.217445386,-16.50472622
41.75,4.085321045,-10.02832617,-8.971022046,-16.82736001
41.8,4.902385254,-1.842711914,-1.249116528,-16.02077554
41.85,4.357675781,4.827047852,15.9359085,-10.85863491
41.9,4.357675781,-1.918504639,9.349577319,-10.37468423
41.95,2.723547363,-3.282773682,0.492097461,-8.761515283
42,1.906483154,-9.421984375,7.381248462,-10.69731802
42.05,1.906483154,-4.495457275,8.062593066,-11.26192715
42.1,0.544709473,4.599669678,30.47126006,-10.37468423
42.15,1.089418945,16.12016382,27.2916519,0.110913916
42.2,1.906483154,11.04205127,26.15607756,-12.5524623
42.25,0.817064209,12.17894214,23.5064041,-4.405959131
42.3,1.361773682,4.523876953,23.80922393,-11.98785317
42.35,-0.272354736,7.176622314,36.37624663,-3.760691553
42.4,0.272354736,18.92449463,30.24414519,-8.196906152
42.45,0.544709473,7.404000488,32.66670378,-7.551638574
42.5,-0.817064209,-5.329177246,31.22830962,-7.067687891
42.55,-0.817064209,3.614364258,34.93785247,-0.534353662
42.6,0.272354736,-11.84735156,32.288179,-5.61583584
42.65,-0.272354736,-1.008991943,37.51182097,-4.405959131
42.7,0.544709473,9.677782227,29.25998076,-8.84217373
42.75,0.817064209,5.888145996,34.86214751,0.514206152
42.8,1.361773682,-1.918504639,33.95368804,-2.712131738
42.85,1.089418945,-5.859726318,30.3955551,-6.019128076
42.9,1.089418945,3.008022461,35.92201689,-5.535177393
42.95,2.178837891,6.721865967,28.42722625,-4.486617578
43,3.812966309,0.961618896,25.02050322,-5.212543604
43.05,4.085321045,0.582655273,24.86909331,1.48210752
43.1,5.17473999,1.113204346,23.12787932,-11.98785317
43.15,4.902385254,2.325887939,24.41486357,-2.470156396
43.2,6.536513672,-3.661737305,15.63308867,-6.664395654
43.25,5.719449463,2.477473389,17.22289275,-3.438057764
43.3,6.264158936,1.113204346,20.47820586,6.563589697
43.35,8.17064209,-4.495457275,14.11898955,-4.970568262
43.4,7.898287354,0.052106201,18.73699187,0.272230811
43.45,8.442996826,6.570280518,13.43764495,-4.567276025
43.5,8.442996826,8.91985498,9.122462451,-7.551638574
43.55,8.442996826,7.782964111,13.81616973,-2.228181055
43.6,9.532415771,-3.58594458,9.955216968,-1.421596582
43.65,8.987706299,1.18899707,5.412919604,-2.06686416
43.7,8.987706299,3.917535156,3.368885791,-1.098962793
43.75,9.804770508,1.871131592,2.081901538,-7.39032168
43.8,10.07712524,0.885826172,2.460426318,-6.099786523
43.85,10.34947998,3.386986084,2.460426318,-2.95410708
43.9,10.89418945,2.022717041,-0.340657056,-5.938469629
43.95,10.62183472,-1.160577393,-0.340657056,-5.212543604
44,11.16654419,-0.251064697,-0.416362012,-6.745054102
44.05,11.43889893,0.582655273,-0.946296704,-6.664395654
44.1,11.71125366,1.18899707,-1.627641309,-6.422420313
44.15,11.9836084,-0.099479248,-2.233280957,-7.793613916
44.2,12.25596313,0.3552771,-2.990330518,-6.745054102
44.25,13.07302734,-0.705821045,-2.914625562,-7.309663232
44.3,12.80067261,-0.099479248,-3.066035474,-6.583737207
44.35,12.52831787,0.506862549,-2.536100781,-7.229004785
44.4,12.80067261,1.492167969,-1.779051221,-7.551638574
44.45,12.52831787,0.734240723,-0.416362012,-8.519539941
44.5,12.80067261,-0.402650146,-2.384690869,-9.245465967
44.55,12.52831787,0.431069824,-2.536100781,-7.712955469
44.6,13.07302734,-0.251064697,-2.384690869,-7.632297021
44.65,12.80067261,-0.933199219,-0.189247144,-8.519539941
44.7,12.80067261,-0.023686523,1.324851978,-5.293202051
44.75,13.07302734,-5.859726318,0.113572681,-8.196906152
44.8,11.9836084,-3.055395508,2.61183623,-6.019128076
44.85,11.71125366,4.14491333,2.081901538,-10.45534268
44.9,12.25596313,4.902840576,2.006196582,-10.29402578
44.95,11.71125366,0.3552771,5.11009978,-10.53600112
45,11.16654419,-12.07472974,7.759773242,-11.26192715
45.05,10.62183472,-8.209300781,8.592527759,-30.94258828
45.1,10.34947998,-4.647042725,11.92354583,-7.874272363
45.15,10.07712524,2.17430249,11.39361113,-7.954930811
45.2,9.260061035,2.022717041,12.8320053,-2.308839502
45.25,9.260061035,-1.918504639,18.28276213,-3.034765527
45.3,8.987706299,-3.889115479,23.58210906,-6.422420313
45.35,7.625932617,-0.705821045,24.03633879,-3.357399316
45.4,7.625932617,-0.402650146,11.77213591,-11.26192715
45.45,6.264158936,6.570280518,35.69490203,-3.84135
45.5,6.264158936,2.780644287,15.86020354,-7.954930811
45.55,5.447094727,-5.480762695,23.20358428,-7.229004785
45.6,4.085321045,0.734240723,28.95716094,-3.357399316
45.65,4.085321045,5.736560547,36.98188628,-1.421596582
45.7,2.9959021,3.008022461,25.24761809,-7.874272363
45.75,2.178837891,1.871131592,36.30054167,-3.518716211
45.8,0.817064209,0.961618896,31.30401458,-1.260279688
45.85,-0.544709473,3.311193359,64.00855559,10.51585361
45.9,2.451192627,6.267109619,40.76713408,-3.518716211
45.95,1.634128418,16.27174927,25.24761809,-9.568099756
46,1.361773682,5.660767822,24.94479827,-6.745054102
46.05,-1.361773682,-3.964908203,41.97841338,-2.873448633
46.1,-0.272354736,-0.554235596,20.47820586,-11.3425856
46.15,-0.544709473,5.206011475,27.21594695,-5.212543604
46.2,-0.544709473,9.07144043,28.35152129,-4.244642236
46.25,1.361773682,3.993327881,18.13135222,-8.116247705
46.3,-0.272354736,1.871131592,25.399028,-9.487441309
46.35,-0.272354736,0.961618896,25.9289627,-10.21336733
46.4,-0.272354736,9.450404053,27.44306182,-7.954930811
46.45,0,14.8316875,22.44653472,-8.196906152
46.5,-0.272354736,5.660767822,21.46237029,-11.26192715
46.55,-1.089418945,-8.209300781,28.88145598,-15.7788002
46.6,-1.089418945,12.93686938,31.53112944,-5.777152734
46.65,2.178837891,23.92681445,0.719212329,-6.987029443
46.7,-2.451192627,-1.463748291,42.50834807,-11.82653628
46.75,2.723547363,-27.53644556,13.13482512,-7.229004785
46.8,0.272354736,11.49680762,33.87798308,-1.260279688
46.85,2.723547363,14.37693115,17.22289275,-10.53600112
46.9,1.361773682,3.917535156,26.53460234,-2.712131738
46.95,2.451192627,-25.64162744,27.36735686,-9.487441309
47,3.540611572,-1.61533374,26.00466765,-7.229004785
47.05,2.451192627,4.675462402,23.80922393,-0.695670557
47.1,4.085321045,1.946924316,18.43417205,-5.373860498
47.15,4.902385254,-7.981922607,26.23178252,2.450008887
47.2,4.902385254,-5.480762695,15.70879363,-8.680856836
47.25,4.902385254,-1.61533374,17.60141753,0.352889258
47.3,4.357675781,1.946924316,14.64892424,0.272230811
47.35,4.902385254,4.220706055,11.99925078,-0.211719873
47.4,6.264158936,13.16424756,9.652397144,-5.373860498
47.45,7.353577881,10.2083313,4.504460132,-1.905547266
47.5,5.991804199,-2.070090088,3.520295703,-9.003490625
47.55,5.17473999,-1.994297363,4.504460132,0.917498389
47.6,6.808868408,5.433389648,-0.416362012,-2.792790186
47.65,8.987706299,5.812353271,-5.110069287,-4.647934473
47.7,7.898287354,6.11552417,-11.09076082,-9.487441309
47.75,7.898287354,0.961618896,-10.48512117,-6.50307876
47.8,7.625932617,-0.175271973,-9.500956738,-9.810075098
47.85,7.625932617,1.113204346,-18.43414155,-14.16563125
47.9,7.353577881,0.506862549,-11.31787568,-17.1499938
47.95,7.353577881,2.250095215,-3.974494946,-10.05205044
48,7.081223145,-3.813322754,-2.763215649,-11.1812687
48.05,6.264158936,-21.92778394,-1.249116528,-25.05452163
48.1,4.630030518,-6.087104492,0.643507373,-17.06933535
48.15,4.085321045,4.902840576,-0.2649521,-14.2462897
48.2,5.17473999,3.841742432,0.416392505,-11.42324404
48.25,5.719449463,8.540891357,20.70532073,-3.922008447
48.3,4.630030518,-5.026006348,13.66475981,-14.32694814
48.35,4.085321045,-2.828017334,17.45000762,-7.712955469
48.4,4.357675781,-2.828017334,18.66128691,-10.53600112
48.45,3.812966309,-2.449053711,18.73699187,-4.325300684
48.5,3.268256836,-12.30210791,21.91660002,-11.58456094
48.55,1.089418945,-2.979602783,24.79338835,-4.809251367
48.6,2.451192627,19.00028735,24.49056853,-10.61665957
48.65,1.906483154,3.993327881,26.83742217,-10.93929336
48.7,1.089418945,-14.7274751,26.91312712,-0.937645898
48.75,1.089418945,-2.449053711,28.73004607,-7.874272363
48.8,0,-22.68571118,34.25650786,4.063177832
