
 ,time,x,y,z
, 11.507, -0.27, -0.30, -0.94
, 11.534, -0.29, -0.31, -0.93
, 11.571, -0.21, -0.31, -0.81
, 11.634, -0.39, -0.37, -0.80
, 11.698, -0.35, -0.47, -0.74
, 11.738, -0.32, -0.38, -0.78
, 11.762, -0.29, -0.44, -0.83
, 11.826, -0.36, -0.32, -0.73
, 11.889, -0.21, -0.39, -0.79
, 11.937, -0.27, -0.38, -0.81
, 11.952, -0.30, -0.30, -0.81
, 12.016, -0.30, -0.39, -1.07
, 12.079, -0.44, -0.34, -0.66
, 12.139, -0.37, -0.38, -0.86
, 12.144, -0.37, -0.41, -0.85
, 12.206, -0.36, -0.32, -0.57
, 12.271, -0.28, -0.18, -0.96
, 12.335, -0.38, -0.09, -0.65
, 12.340, -0.34, -0.20, -0.73
, 12.397, -0.33, -0.02, -0.93
, 12.461, -0.21, -0.11, -0.81
, 12.524, -0.36, -0.04, -1.00
, 12.543, -0.28, -0.04, -0.85
, 12.588, -0.30, 0.00, -0.81
, 12.652, -0.49, -0.06, -0.77
, 12.715, -0.44, -0.10, -0.79
, 12.742, -0.43, -0.11, -0.74
, 12.779, -0.36, -0.15, -0.65
, 12.842, -0.26, -0.12, -0.85
, 12.906, -0.38, -0.10, -0.85
, 12.944, -0.34, -0.11, -0.87
, 12.972, -0.45, -0.09, -0.85
, 13.034, -0.35, -0.17, -0.48
, 13.097, -0.18, -0.09, -1.03
, 13.146, -0.33, -0.12, -0.79
, 13.161, -0.25, -0.06, -0.99
, 13.224, -0.31, -0.06, -0.83
, 13.288, -0.70, -0.22, -0.76
, 13.347, -0.42, -0.14, -0.73
, 13.351, -0.25, -0.14, -0.60
, 13.413, -0.54, -0.10, -0.77
, 13.478, -0.49, -0.10, -0.85
, 13.541, -0.24, -0.10, -0.72
, 13.548, -0.42, -0.10, -0.78
, 13.605, -0.32, -0.05, -0.95
, 13.669, -0.32, -0.14, -0.95
, 13.732, -0.33, -0.15, -0.69
, 13.749, -0.32, -0.11, -0.86
, 13.796, -0.25, -0.07, -0.94
, 13.859, -0.27, -0.07, -0.97
, 13.923, -0.52, -0.13, -0.75
, 13.951, -0.42, -0.11, -0.81
, 13.986, -0.48, -0.12, -0.71
, 14.050, -0.48, -0.11, -0.80
, 14.118, -0.59, -0.09, -0.79
, 14.160, -0.51, -0.15, -0.95
, 14.181, -0.47, -0.25, -1.25
, 14.245, -0.17, -0.19, -0.77
, 14.310, -0.23, -0.11, -1.04
, 14.356, -0.16, -0.11, -1.10
, 14.371, -0.14, -0.08, -1.08
, 14.436, 0.17, -0.18, -1.56
, 14.500, -0.16, 0.02, -1.34
, 14.561, -0.09, -0.02, -1.11
, 14.565, 0.03, -0.01, -0.92
, 14.626, 0.01, -0.07, -1.24
, 14.688, -0.07, -0.10, -1.28
, 14.753, 0.07, -0.11, -0.57
, 14.759, 0.00, -0.09, -1.03
, 14.816, -0.37, -0.02, -1.16
, 14.882, -0.03, -0.08, -0.84
, 14.945, 0.01, -0.11, -0.60
, 14.961, -0.13, -0.07, -0.87
, 15.007, -0.09, -0.04, -0.92
, 15.072, -0.04, -0.03, -0.94
, 15.134, -0.13, -0.02, -0.87
, 15.162, -0.11, -0.05, -0.87
, 15.204, -0.20, -0.09, -0.77
, 15.262, -0.34, -0.09, -0.92
, 15.324, -0.03, -0.08, -1.08
, 15.367, -0.18, -0.05, -0.96
, 15.389, -0.19, 0.01, -0.89
, 15.452, -0.20, -0.04, -0.94
, 15.515, -0.12, -0.06, -0.81
, 15.567, -0.17, -0.06, -0.87
, 15.579, -0.20, -0.07, -0.86
, 15.644, -0.19, -0.08, -0.83
, 15.711, -0.22, -0.10, -0.70
, 15.770, -0.15, -0.08, -0.79
, 15.774, -0.10, -0.10, -0.71
, 15.833, -0.22, -0.09, -0.86
, 15.899, -0.23, -0.07, -0.73
, 15.961, -0.08, -0.06, -0.90
, 15.967, -0.17, -0.07, -0.83
, 16.026, -0.23, -0.05, -0.96
, 16.089, -0.24, -0.05, -0.85
, 16.154, -0.19, -0.06, -0.79
, 16.169, -0.22, -0.05, -0.87
, 16.216, -0.22, -0.10, -0.88
, 16.278, -0.20, -0.06, -0.81
, 16.342, -0.22, -0.03, -0.88
, 16.376, -0.21, -0.06, -0.86
, 16.402, -0.20, -0.07, -0.84
, 16.466, -0.24, -0.09, -0.80
, 16.530, -0.23, -0.08, -0.81
, 16.570, -0.23, -0.07, -0.82
, 16.593, -0.20, -0.04, -0.85
, 16.657, -0.21, -0.09, -0.83
, 16.720, -0.24, -0.11, -0.76
, 16.771, -0.19, -0.13, -0.68
, 16.797, -0.12, -0.21, -0.46
, 16.849, 0.14, 0.04, -1.33
, 16.913, 0.27, 0.18, -1.26
, 16.975, 0.20, 0.05, -1.19
, 16.978, 0.18, -0.06, -0.98
, 17.040, 0.10, -0.00, -0.76
, 17.103, -0.05, -0.05, -0.83
, 17.165, -0.05, -0.03, -0.73
, 17.174, -0.01, -0.03, -0.83
, 17.229, -0.06, -0.01, -0.99
, 17.292, -0.04, -0.06, -0.94
, 17.357, -0.01, -0.05, -0.89
, 17.377, -0.04, -0.04, -0.94
, 17.420, -0.04, -0.02, -0.83
, 17.484, -0.01, 0.00, -0.97
, 17.548, 0.06, 0.01, -0.94
, 17.578, 0.00, -0.00, -0.91
, 17.611, 0.04, -0.01, -0.92
, 17.674, 0.00, -0.05, -0.86
, 17.738, -0.04, -0.03, -0.95
, 17.778, -0.00, -0.02, -0.90
, 17.801, -0.05, 0.00, -0.91
, 17.865, -0.02, 0.01, -0.92
, 17.928, -0.00, -0.02, -0.95
, 17.980, -0.02, -0.02, -0.92
, 17.991, -0.03, -0.06, -0.89
, 18.057, -0.03, -0.04, -0.96
, 18.123, -0.02, 0.02, -0.95
, 18.185, -0.02, 0.00, -0.94
, 18.189, -0.00, 0.03, -0.92
, 18.250, -0.00, -0.01, -0.97
, 18.312, 0.01, -0.07, -0.85
, 18.374, -0.05, -0.06, -0.88
, 18.389, 0.00, -0.01, -0.95
, 18.440, 0.00, 0.04, -1.03
, 18.506, -0.04, 0.02, -0.83
, 18.566, -0.04, -0.03, -0.96
, 18.587, -0.04, -0.03, -0.89
, 18.630, -0.07, -0.06, -0.82
, 18.691, -0.01, -0.02, -1.02
, 18.755, -0.03, -0.02, -0.85
, 18.788, -0.04, -0.03, -0.90
, 18.823, -0.03, -0.00, -0.92
, 18.882, -0.02, -0.03, -0.91
, 18.946, 0.01, -0.05, -0.97
, 18.990, -0.01, -0.03, -0.93
, 19.014, -0.04, -0.04, -0.91
, 19.077, -0.04, -0.03, -0.89
, 19.141, -0.01, -0.05, -0.90
, 19.193, -0.03, -0.04, -0.90
, 19.201, -0.04, -0.04, -0.92
, 19.266, -0.05, -0.03, -0.88
, 19.330, -0.06, -0.01, -0.90
, 19.393, -0.04, -0.02, -0.89
, 19.397, -0.00, -0.04, -0.89
, 19.457, -0.04, -0.06, -0.86
, 19.525, -0.01, -0.07, -0.90
, 19.581, -0.01, -0.04, -0.86
, 19.591, -0.02, -0.06, -0.87
, 19.645, 0.01, 0.01, -0.97
, 19.711, 0.00, -0.02, -0.87
, 19.772, -0.02, -0.03, -0.94
, 19.793, -0.00, -0.03, -0.96
, 19.835, 0.01, -0.07, -0.97
, 19.899, -0.04, -0.04, -0.91
, 19.963, -0.00, -0.02, -0.92
, 19.995, -0.03, -0.03, -0.92
, 20.027, -0.04, -0.05, -0.89
, 20.092, -0.05, -0.05, -0.93
, 20.156, -0.02, -0.03, -0.90
, 20.199, -0.04, -0.04, -0.91
, 20.221, -0.04, -0.02, -0.91
, 20.284, -0.01, -0.05, -0.95
, 20.346, -0.02, -0.07, -0.95
, 20.409, -0.03, -0.03, -0.92
, 20.413, -0.03, -0.03, -0.88
, 20.477, -0.03, -0.00, -0.94
, 20.538, -0.03, -0.03, -0.88
, 20.603, -0.03, -0.03, -0.91
, 20.607, -0.02, -0.05, -0.92
, 20.665, -0.02, -0.06, -0.88
, 20.729, -0.02, -0.04, -0.95
, 20.791, -0.02, -0.04, -0.91
, 20.809, -0.02, -0.04, -0.91
, 20.857, -0.03, -0.02, -0.92
, 20.921, -0.03, -0.05, -0.92
, 20.982, -0.04, -0.09, -0.88
, 21.003, -0.04, -0.03, -0.89
, 21.048, -0.04, -0.02, -0.83
, 21.111, -0.04, -0.02, -0.88
, 21.173, -0.01, -0.06, -0.89
, 21.211, -0.01, -0.06, -0.89
, 21.237, 0.01, -0.09, -0.89
, 21.304, -0.02, -0.07, -0.91
, 21.369, -0.07, -0.01, -0.92
, 21.407, -0.03, -0.02, -0.94
, 21.425, -0.01, 0.01, -0.98
, 21.488, -0.05, -0.05, -0.94
, 21.552, -0.03, -0.04, -0.88
, 21.605, -0.04, -0.05, -0.89
, 21.615, -0.03, -0.03, -0.94
, 21.679, -0.03, -0.04, -0.91
, 21.743, -0.05, -0.06, -0.91
, 21.806, -0.03, -0.08, -0.93
, 21.807, -0.04, -0.06, -0.92
, 21.870, -0.04, 0.00, -0.93
, 21.937, -0.13, -0.00, -0.99
, 22.000, -0.04, -0.00, -0.90
, 22.012, -0.07, 0.00, -0.94
, 22.063, -0.11, -0.06, -0.97
, 22.126, -0.04, -0.04, -0.90
, 22.191, -0.05, -0.04, -0.91
, 22.214, -0.07, -0.05, -0.93
, 22.256, -0.06, -0.02, -0.94
, 22.323, -0.05, -0.04, -0.94
, 22.383, -0.05, -0.04, -0.96
, 22.417, -0.06, -0.03, -0.94
, 22.445, -0.05, -0.04, -0.92
, 22.511, -0.06, -0.04, -0.87
, 22.573, -0.04, -0.03, -0.94
, 22.621, -0.05, -0.04, -0.90
, 22.640, -0.05, -0.07, -0.88
, 22.705, -0.05, -0.06, -0.91
, 22.763, -0.05, -0.04, -0.87
, 22.823, -0.05, -0.04, -0.90
, 22.830, -0.06, -0.02, -0.92
, 22.890, -0.05, -0.05, -0.88
, 22.953, -0.08, -0.07, -0.85
, 23.019, -0.05, -0.05, -0.87
, 23.023, -0.05, -0.02, -0.88
, 23.081, -0.06, -0.03, -0.88
, 23.144, -0.02, -0.05, -0.84
, 23.209, -0.06, -0.08, -0.84
, 23.220, -0.05, -0.05, -0.85
, 23.271, -0.03, -0.05, -0.87
, 23.334, -0.03, -0.03, -0.88
, 23.399, -0.02, -0.03, -0.91
, 23.432, -0.03, -0.04, -0.89
, 23.463, -0.03, -0.07, -0.89
, 23.530, -0.02, -0.06, -0.90
, 23.587, -0.04, -0.03, -0.89
, 23.620, -0.03, -0.05, -0.89
, 23.651, -0.03, -0.01, -0.89
, 23.720, -0.03, -0.04, -0.92
, 23.777, -0.04, -0.06, -0.91
, 23.825, -0.03, -0.05, -0.91
, 23.845, -0.03, -0.05, -0.90
, 23.912, -0.04, -0.01, -0.99
, 23.972, -0.06, -0.00, -0.94
, 24.032, -0.04, -0.01, -0.95
, 24.036, -0.03, -0.03, -0.93
, 24.101, -0.07, -0.07, -0.91
, 24.169, -0.05, -0.02, -0.90
, 24.233, -0.06, -0.03, -0.91
, 24.237, -0.06, -0.01, -0.92
, 24.289, -0.07, -0.03, -0.95
, 24.353, -0.06, -0.02, -0.93
, 24.417, -0.04, -0.03, -0.92
, 24.431, -0.05, -0.03, -0.93
, 24.481, -0.06, -0.02, -0.86
, 24.544, -0.05, -0.03, -0.96
, 24.611, -0.06, -0.04, -0.90
, 24.630, -0.06, -0.03, -0.91
, 24.670, -0.05, -0.03, -0.95
, 24.734, -0.06, -0.01, -0.95
, 24.798, -0.07, -0.04, -0.87
, 24.832, -0.06, -0.03, -0.93
, 24.862, -0.07, -0.05, -0.90
, 24.926, -0.06, -0.07, -0.85
, 24.992, -0.05, -0.03, -0.93
, 25.034, -0.06, -0.04, -0.88
, 25.060, -0.07, -0.01, -0.85
, 25.124, -0.06, -0.03, -0.92
, 25.182, -0.03, -0.05, -0.89
, 25.242, -0.06, -0.05, -0.90
, 25.246, -0.09, -0.07, -0.90
, 25.313, -0.04, -0.03, -0.89
, 25.377, -0.05, -0.00, -0.87
, 25.433, -0.05, -0.03, -0.93
, 25.437, -0.05, -0.02, -0.90
, 25.498, -0.04, -0.06, -0.90
, 25.562, -0.04, -0.03, -0.91
, 25.624, -0.07, -0.02, -0.93
, 25.636, -0.05, -0.03, -0.91
, 25.688, -0.03, -0.03, -0.90
, 25.751, -0.05, -0.06, -0.90
, 25.817, -0.06, -0.02, -0.93
, 25.841, -0.05, -0.05, -0.91
, 25.886, -0.06, -0.01, -0.90
, 25.951, -0.06, -0.06, -0.87
, 26.014, -0.05, -0.06, -0.89
