
unknown,time,index,x,y,z,norm,unknown2,
0014.4F01.0000.04D2,12159,1025,-0.20967741935483872,0.0967741935483871,1.0,1.0263185980601957,false,
0014.4F01.0000.04D2,12169,1026,-0.14516129032258066,0.14516129032258066,0.9516129032258065,0.973504349246618,false,
0014.4F01.0000.04D2,12179,1027,-0.1774193548387097,0.12903225806451613,1.0161290322580645,1.0395408415691625,false,
0014.4F01.0000.04D2,12190,1028,-0.16129032258064516,0.11290322580645161,0.967741935483871,0.9875657751510731,false,
0014.4F01.0000.04D2,12198,1029,-0.1935483870967742,0.0967741935483871,1.0,1.0231452598163682,false,
0014.4F01.0000.04D2,12209,1030,-0.1935483870967742,0.11290322580645161,1.0,1.0247966220403273,false,
0014.4F01.0000.04D2,12219,1031,-0.1774193548387097,0.11290322580645161,1.0161290322580645,1.0376622649333438,false,
0014.4F01.0000.04D2,12229,1032,-0.14516129032258066,0.0967741935483871,1.0161290322580645,1.0309972138385088,false,
0014.4F01.0000.04D2,12239,1033,-0.1935483870967742,0.11290322580645161,0.967741935483871,0.9933441348492144,false,
0014.4F01.0000.04D2,12249,1034,-0.14516129032258066,0.0967741935483871,0.967741935483871,0.9833420048178182,false,
0014.4F01.0000.04D2,12259,1035,-0.14516129032258066,0.16129032258064516,0.967741935483871,0.991771557396336,false,
0014.4F01.0000.04D2,12270,1036,-0.1935483870967742,0.0967741935483871,1.0,1.0231452598163682,false,
0014.4F01.0000.04D2,12278,1037,-0.1774193548387097,0.12903225806451613,0.967741935483871,0.9922960267917436,false,
0014.4F01.0000.04D2,12290,1038,-0.22580645161290322,0.06451612903225806,0.967741935483871,0.9958289703505246,false,
0014.4F01.0000.04D2,12299,1039,-0.16129032258064516,0.11290322580645161,0.967741935483871,0.9875657751510731,false,
0014.4F01.0000.04D2,12309,1040,-0.1935483870967742,0.0967741935483871,1.0,1.0231452598163682,false,
0014.4F01.0000.04D2,12319,1041,-0.1774193548387097,0.11290322580645161,0.967741935483871,0.9903278343876615,false,
0014.4F01.0000.04D2,12329,1042,-0.1774193548387097,0.12903225806451613,1.0161290322580645,1.0395408415691625,false,
0014.4F01.0000.04D2,12339,1043,-0.16129032258064516,0.11290322580645161,0.9516129032258065,0.9717658278317464,false,
0014.4F01.0000.04D2,12350,1044,-0.1774193548387097,0.06451612903225806,0.967741935483871,0.9859839816501887,false,
0014.4F01.0000.04D2,12358,1045,-0.16129032258064516,0.16129032258064516,1.0,1.0256847158441706,false,
0014.4F01.0000.04D2,12369,1046,-0.16129032258064516,0.11290322580645161,0.9354838709677419,0.9559768717895124,false,
0014.4F01.0000.04D2,12379,1047,-0.1935483870967742,0.14516129032258066,0.9838709677419355,1.0131805660993167,false,
0014.4F01.0000.04D2,12389,1048,-0.16129032258064516,0.1774193548387097,1.0161290322580645,1.0440356343665973,false,
