
 ,time,x,y,z
, 14.618, -0.38, 0.84, -0.15
, 14.637, -0.38, 0.85, -0.18
, 14.657, -0.38, 0.85, -0.14
, 14.674, -0.39, 0.85, -0.17
, 14.695, -0.38, 0.84, -0.17
, 14.697, -0.38, 0.84, -0.17
, 14.715, -0.37, 0.84, -0.16
, 14.743, -0.38, 0.85, -0.16
, 14.760, -0.36, 0.85, -0.18
, 14.780, -0.36, 0.86, -0.17
, 14.803, -0.36, 0.85, -0.17
, 14.824, -0.37, 0.85, -0.16
, 14.845, -0.38, 0.86, -0.18
, 14.861, -0.37, 0.85, -0.19
, 14.881, -0.38, 0.83, -0.17
, 14.906, -0.37, 0.85, -0.17
, 14.911, -0.37, 0.84, -0.17
, 14.918, -0.37, 0.86, -0.17
, 14.940, -0.36, 0.86, -0.16
, 14.960, -0.36, 0.83, -0.17
, 14.984, -0.38, 0.86, -0.16
, 15.007, -0.37, 0.86, -0.18
, 15.020, -0.37, 0.83, -0.17
, 15.044, -0.37, 0.85, -0.15
, 15.065, -0.38, 0.85, -0.16
, 15.083, -0.36, 0.84, -0.17
, 15.109, -0.37, 0.85, -0.17
, 15.114, -0.39, 0.84, -0.18
, 15.119, -0.37, 0.87, -0.18
, 15.146, -0.38, 0.86, -0.18
, 15.163, -0.36, 0.84, -0.12
, 15.188, -0.37, 0.82, -0.14
, 15.208, -0.37, 0.86, -0.19
, 15.222, -0.37, 0.86, -0.20
, 15.241, -0.38, 0.84, -0.17
, 15.266, -0.38, 0.85, -0.17
, 15.282, -0.37, 0.82, -0.17
, 15.311, -0.37, 0.85, -0.17
, 15.316, -0.38, 0.85, -0.20
, 15.322, -0.38, 0.86, -0.18
, 15.346, -0.37, 0.85, -0.18
, 15.361, -0.38, 0.83, -0.14
, 15.388, -0.38, 0.86, -0.19
, 15.410, -0.37, 0.84, -0.18
, 15.423, -0.39, 0.84, -0.16
, 15.443, -0.37, 0.87, -0.17
, 15.468, -0.38, 0.84, -0.16
, 15.484, -0.37, 0.84, -0.16
, 15.505, -0.38, 0.85, -0.17
, 15.509, -0.37, 0.86, -0.18
, 15.523, -0.37, 0.87, -0.19
, 15.543, -0.37, 0.84, -0.17
, 15.571, -0.37, 0.84, -0.16
, 15.583, -0.39, 0.85, -0.18
, 15.604, -0.37, 0.85, -0.17
, 15.631, -0.38, 0.83, -0.16
, 15.643, -0.37, 0.84, -0.15
, 15.665, -0.37, 0.86, -0.21
, 15.685, -0.37, 0.86, -0.16
, 15.705, -0.37, 0.85, -0.17
, 15.708, -0.36, 0.83, -0.15
, 15.725, -0.38, 0.85, -0.20
, 15.750, -0.37, 0.87, -0.18
, 15.768, -0.37, 0.85, -0.17
, 15.784, -0.38, 0.84, -0.16
, 15.814, -0.38, 0.87, -0.19
, 15.827, -0.38, 0.86, -0.17
, 15.847, -0.38, 0.83, -0.16
, 15.873, -0.38, 0.86, -0.17
