
 ,time,x,y,z
, 14.979, 0.50, -0.06, -0.80
, 14.983, 0.50, -0.06, -0.81
, 15.039, 0.49, -0.06, -0.80
, 15.102, 0.49, -0.06, -0.79
, 15.170, 0.50, -0.07, -0.80
, 15.182, 0.49, -0.06, -0.80
, 15.230, 0.50, -0.06, -0.81
, 15.296, 0.49, -0.06, -0.80
, 15.360, 0.49, -0.07, -0.80
, 15.380, 0.50, -0.06, -0.80
, 15.419, 0.50, -0.07, -0.80
, 15.484, 0.49, -0.06, -0.80
, 15.550, 0.49, -0.06, -0.79
, 15.579, 0.49, -0.06, -0.80
, 15.611, 0.49, -0.06, -0.79
, 15.674, 0.50, -0.06, -0.80
, 15.741, 0.49, -0.06, -0.80
, 15.789, 0.50, -0.06, -0.80
, 15.801, 0.49, -0.07, -0.79
, 15.866, 0.50, -0.06, -0.80
, 15.930, 0.50, -0.05, -0.81
, 15.982, 0.50, -0.06, -0.80
, 15.996, 0.49, -0.07, -0.80
, 16.061, 0.49, -0.07, -0.79
, 16.121, 0.50, -0.06, -0.80
, 16.184, 0.50, -0.06, -0.80
, 16.188, 0.50, -0.06, -0.80
, 16.248, 0.50, -0.06, -0.80
, 16.311, 0.49, -0.06, -0.80
, 16.380, 0.50, -0.06, -0.80
, 16.385, 0.50, -0.06, -0.80
, 16.440, 0.49, -0.06, -0.79
, 16.501, 0.50, -0.06, -0.80
, 16.567, 0.50, -0.06, -0.80
, 16.589, 0.50, -0.06, -0.80
, 16.630, 0.49, -0.06, -0.80
, 16.692, 0.50, -0.06, -0.80
, 16.764, 0.49, -0.06, -0.79
, 16.789, 0.50, -0.06, -0.79
, 16.820, 0.50, -0.06, -0.80
, 16.885, 0.50, -0.06, -0.81
, 16.946, 0.50, -0.06, -0.80
, 16.999, 0.50, -0.06, -0.80
, 17.009, 0.49, -0.06, -0.79
, 17.075, 0.50, -0.06, -0.80
, 17.137, 0.50, -0.06, -0.80
, 17.188, 0.50, -0.06, -0.80
, 17.197, 0.50, -0.06, -0.80
, 17.261, 0.49, -0.06, -0.79
, 17.333, 0.49, -0.06, -0.79
, 17.392, 0.50, -0.06, -0.80
, 17.394, 0.50, -0.06, -0.80
, 17.455, 0.50, -0.06, -0.81
, 17.520, 0.50, -0.06, -0.80
, 17.592, 0.49, -0.06, -0.79
, 17.596, 0.50, -0.06, -0.80
, 17.651, 0.49, -0.06, -0.79
, 17.711, 0.50, -0.06, -0.80
, 17.772, 0.50, -0.07, -0.80
, 17.796, 0.50, -0.06, -0.80
, 17.842, 0.50, -0.06, -0.80
, 17.909, 0.50, -0.06, -0.80
, 17.963, 0.49, -0.06, -0.80
, 17.998, 0.49, -0.06, -0.80
, 18.029, 0.49, -0.07, -0.79
, 18.090, 0.50, -0.06, -0.80
, 18.156, 0.50, -0.06, -0.82
, 18.206, 0.50, -0.06, -0.80
, 18.217, 0.49, -0.07, -0.80
, 18.282, 0.49, -0.06, -0.79
, 18.345, 0.49, -0.05, -0.79
, 18.403, 0.50, -0.06, -0.80
, 18.412, 0.50, -0.05, -0.81
, 18.478, 0.49, -0.06, -0.81
, 18.535, 0.49, -0.07, -0.79
, 18.599, 0.50, -0.06, -0.80
, 18.602, 0.49, -0.06, -0.80
, 18.668, 0.49, -0.07, -0.79
, 18.726, 0.49, -0.06, -0.79
, 18.790, 0.49, -0.06, -0.79
, 18.801, 0.49, -0.06, -0.79
, 18.855, 0.51, -0.05, -0.83
