
 ,time,x,y,z
, 15.534, -0.56, 0.86, 0.28
, 15.591, -0.68, 0.22, -0.69
, 15.693, 0.15, 0.05, -0.22
, 15.721, 0.41, -0.51, 0.19
, 15.810, -0.66, 0.22, 0.07
, 15.851, 0.69, -0.20, 0.48
, 15.905, -1.02, 0.27, 0.68
, 15.970, 0.58, -0.84, -0.59
, 16.037, 1.35, -0.68, 0.83
, 16.112, -0.62, 0.19, -0.23
, 16.159, 0.18, -0.06, -0.14
, 16.227, -0.26, -0.17, -0.08
, 16.309, 1.02, -0.16, 0.57
, 16.369, -0.28, 0.91, -1.03
, 16.412, -0.09, -0.45, 0.51
, 16.477, -0.06, 0.68, -0.15
, 16.540, 0.53, -0.97, -0.11
, 16.604, -0.29, 0.57, 0.13
, 16.736, 0.05, -0.30, 0.13
, 16.741, 0.03, -0.18, 0.42
, 16.818, 0.05, -0.07, -0.67
, 16.870, 0.02, -0.65, 0.88
, 16.921, 0.26, -0.11, -0.73
, 17.000, -0.07, 0.02, -0.34
, 17.049, 0.41, -0.46, -0.21
, 17.112, -0.22, -0.21, 0.20
, 17.204, 0.17, -0.24, -0.24
, 17.239, -0.31, -0.69, 0.37
, 17.302, -0.15, -0.20, -0.33
, 17.411, -0.16, 0.03, 1.12
, 17.431, 0.33, -0.63, -1.10
, 17.496, -0.10, -0.14, 0.50
, 17.616, -0.01, -0.14, -0.12
, 17.620, 0.28, -0.02, -0.30
, 17.682, 0.20, -0.27, -0.00
, 17.748, -0.09, -0.20, 0.24
, 17.815, 0.16, 0.14, -0.94
, 17.912, -0.38, 0.24, 0.43
, 17.937, -0.03, -0.01, -0.98
, 18.003, 0.24, 0.53, -0.27
, 18.116, 0.22, 0.01, -0.50
, 18.129, -0.17, 0.06, -0.47
, 18.209, -0.15, 0.44, -0.57
, 18.275, 0.10, 0.18, -0.36
, 18.345, 0.14, 0.84, -0.56
, 18.389, -0.15, -0.26, -0.56
, 18.447, -0.03, 1.30, 0.08
, 18.511, -0.20, -0.63, -1.41
, 18.609, -0.22, 1.21, -0.08
, 18.637, 0.27, -0.27, -1.61
, 18.700, -0.04, 0.64, -0.47
, 18.810, 0.08, 0.64, -0.72
, 18.829, -0.54, 0.38, -0.69
, 18.896, 0.15, 0.73, -0.85
, 19.001, 0.01, 0.29, -0.59
, 19.020, 0.32, 0.35, -1.31
, 19.083, 0.25, 0.48, -0.71
, 19.146, -0.07, -0.01, -1.34
, 19.229, -0.33, 0.21, -0.25
, 19.290, 0.04, 0.43, -1.44
, 19.337, -0.43, 0.56, -0.97
, 19.404, -0.57, -0.16, -1.38
, 19.515, -0.16, 0.86, -0.89
, 19.528, 0.38, -0.11, -1.60
, 19.594, 0.23, -0.03, -1.22
, 19.661, -0.03, 0.64, -1.56
, 19.725, -0.04, 0.65, -1.17
, 19.805, -0.62, 0.15, -1.84
, 19.847, 0.27, 0.25, -1.37
, 19.933, 0.26, 0.08, -1.22
, 20.030, -0.35, 1.17, -1.54
, 20.046, 1.31, 0.53, -2.57
, 20.132, -0.11, 2.44, -0.07
, 20.177, -0.29, 3.83, -2.78
, 20.305, -0.29, 1.78, -2.43
, 20.307, -0.73, 2.62, -0.61
, 20.359, 0.01, 2.61, -2.86
, 20.420, 0.39, 2.04, -1.33
, 20.523, -0.70, 2.54, -1.03
, 20.548, 0.31, 3.49, -1.45
, 20.628, 0.91, 0.64, 0.21
, 20.725, -0.62, 0.97, -0.91
, 20.740, -0.85, 2.24, -0.28
, 20.834, -0.22, 1.85, -2.10
, 20.864, -0.12, 2.46, -0.45
, 20.941, 0.11, 2.83, -1.05
, 21.043, -0.49, 1.99, -2.09
, 21.058, -0.30, 1.26, -1.11
, 21.117, 0.21, 3.29, -0.04
, 21.200, 0.04, 0.73, -2.64
, 21.244, -0.85, 3.27, 1.01
, 21.308, 0.97, 1.41, -3.32
, 21.372, -1.26, 1.88, 0.65
, 21.435, -1.27, -1.21, -4.61
, 21.511, 0.45, -5.60, -3.60
, 21.565, 1.68, -5.34, -7.14
, 21.658, 0.63, -1.54, -1.57
, 21.695, 1.47, 0.77, -8.18
, 21.771, -2.65, 1.59, -1.26
, 21.825, 1.38, -4.07, -6.52
, 21.921, -0.35, -3.29, -6.90
, 21.947, 1.00, -1.95, -1.36
, 22.037, -1.31, -2.43, -7.53
, 22.077, 2.11, -5.74, -6.33
, 22.214, -0.29, -7.08, -6.77
, 22.216, 1.27, 7.68, 0.71
, 22.264, 0.05, 10.56, -3.17
, 22.357, -5.39, 9.90, -1.88
, 22.389, 0.15, -6.71, -6.39
, 22.451, 8.74, 1.30, 6.56
, 22.525, -0.51, -2.84, -14.98
, 22.580, -1.99, -0.61, 6.53
, 22.656, 1.19, 4.77, -0.27
, 22.707, 0.05, -0.58, -0.24
, 22.770, -1.51, 2.72, 4.97
, 22.847, -3.02, -5.81, 0.19
, 22.898, -4.62, 9.71, 9.92
, 22.966, 3.73, 10.69, -3.15
, 23.071, -0.91, 17.31, 12.56
, 23.087, 4.56, 9.65, 10.97
, 23.167, -1.86, -1.54, 3.67
, 23.247, -8.38, 3.47, 14.29
, 23.280, 5.51, 6.13, -3.06
, 23.343, 5.63, 7.24, 14.60
, 23.406, 2.05, 5.92, -2.02
, 23.470, -7.90, 9.31, 22.15
, 23.533, 16.98, -3.60, -4.46
